,Name,Search_name,Exclude_entries
3212,Good Taste Chinese Takeaway,good taste chinese takeaway,
3213,The Village Spice,the village spice,
3214,Spice garden,spice garden,
3215,Greek Flavours,greek flavours,
3216,The Village Fish and Chips,the village fish and chips,
3217,Kenitos Piri Piri,kenitos piri piri,
3218,Dawat Restaurant,dawat restaurant,
3219,Biryani Love,biryani love,
3220,Biryani Mob,biryani mob,
3221,Biryani Shack,biryani shack,
3222,Currylicious,currylicious,
3223,Bluebelles of Portobello,bluebelles of portobello,
3224,Queens,queens,
3225,Koshari Street,koshari street,
3226,Crystal Cafe,crystal cafe,
3227,Biryani Station,biryani station,
3228,The View,the view,
3229,Bonjour Brioche,bonjour brioche,
3230,Curtis of Lincoln,curtis of lincoln,
3231,Stantons Fish & Chips,stantons fish & chips,
3232,Ken's,ken's,
3233,Topkapi Grill,topkapi grill,
3234,Blue's Smokehouse,blue's smokehouse,
3235,Spice of Life,spice of life,
3236,Bhook Club,bhook club,
3237,Crystal,crystal,
3238,Kosthuree,kosthuree,
3239,The Victoria Gate,the victoria gate,
3240,ThickShake Hut,thickshake hut,
3241,Biryanish,biryanish,
3242,Spaghetti Tree,spaghetti tree,
3243,Nazar Restaurant,nazar restaurant,
3244,Queens Chicken & Pizza,queens chicken & pizza,
3245,Spuds,spuds,
3246,Spudulike,spudulike,
3247,Queens Fish and Chips,queens fish and chips,
3248,Kengs Garden,kengs garden,
3249,Blyton Ice Cream,blyton ice cream,
3250,Spice of Asia,spice of asia,
3251,Biryani Express,biryani express,
3252,Korean Barbecue,korean barbecue,
3253,Dawley Chicken,dawley chicken,
3254,Queens Fish Bar,queens fish bar,
3255,Greek Eats,greek eats,
3256,Korean Fried Chicken,korean fried chicken,
3257,Mystic Pizza,mystic pizza,
3258,Good Food Inn,good food inn,
3259,Bibi's Kitchen,bibi's kitchen,
3260,The Village Cafe,the village cafe,
3261,Thicc Milkshakes - BL3,thicc milkshakes - bl3,
3262,Biryani Hut,biryani hut,
3263,Nazma Fisheries & Southern Fried,nazma fisheries & southern fried,
3264,Korean Kitchen,korean kitchen,
3265,Crystal Chinese Takeaway,crystal chinese takeaway,
3266,Kilimandjaro,kilimandjaro,
3267,Ken's Kebab House & Speedy Pizza,ken's kebab house & speedy pizza,
3268,Kingston Pizza,kingston pizza,
3269,Oli & Joes,oli & joes,
3270,Punto Italian Restaurant,punto italian restaurant,
3271,Pizza Chalet,pizza chalet,
3272,The Big Cake Co. - Lincoln,the big cake co. - lincoln,
3273,Papa Luigi Dial-A-Pizza,papa luigi dial-a-pizza,
3274,Papa John’s Pizza,papa john’s pizza,
3275,The Big Plate Cafe,the big plate cafe,
3276,Pizza By Pro 🍕,pizza by pro 🍕,
3277,Pizza Capone,pizza capone,
3278,Cellar Plus,cellar plus,
3279,Pizza Castle,pizza castle,
3280,Celebrity Hollywood Burgers,celebrity hollywood burgers,
3281,Pizza Central,pizza central,
3282,Sweet and Simple,sweet and simple,
3283,Sweets Town & Grill,sweets town & grill,
3284,Sweet Vegan,sweet vegan,
3285,Pizza Choice & Best Kebab,pizza choice & best kebab,
3286,The Black Pearl,the black pearl,
3287,Cecil's Corner,cecil's corner,
3288,The Blacksmiths Arms,the blacksmiths arms,
3289,Cay Tre Vietnamese,cay tre vietnamese,
3290,Pizza Club,pizza club,
3291,Sweet Tooth Desserts,sweet tooth desserts,
3292,Sweet Tooth Cafe,sweet tooth cafe,
3293,The Blue Boar,the blue boar,
3294,The Big Cake Co. - Crewe,the big cake co. - crewe,
3295,Harvester - Bell & Barge,harvester - bell & barge,
3296,Kaspas Desserts,kaspas desserts,
3297,Papa's Pizza and Kebab,papa's pizza and kebab,
3298,The Beefy Boys,the beefy boys,
3299,Papas Kebab House,papas kebab house,
3300,The Beehive,the beehive,
3301,Pizza Altaglio,pizza altaglio,
3302,The Belgian Waffle Company,the belgian waffle company,
3303,The Bell,the bell,
3304,Pizza Amicos,pizza amicos,
3305,The Belle Vue,the belle vue,
3306,The Bengal,the bengal,
3307,Central Story,central story,
3308,The Best Kebab House,the best kebab house,
3309,Harvester - Buckshaw,harvester - buckshaw,
3310,Central Grill,central grill,
3311,Harvester - Meridian Park,harvester - meridian park,
3312,Central Fish Bar,central fish bar,
3313,Sweettastic Churros,sweettastic churros,
3314,The Better Burrito,the better burrito,
3315,Papa's Burritos,papa's burritos,
3316,Harvester - Durley Inn,harvester - durley inn,
3317,The Big Bear Cafe,the big bear cafe,
3318,The Big Bite,the big bite,
3319,Pizza Belushi,pizza belushi,
3320,Sweet Tooth Bakery,sweet tooth bakery,
3321,Causeway Pizza & Grill,causeway pizza & grill,
3322,The Blue Fin,the blue fin,
3323,Sweet Munchies,sweet munchies,
3324,Castello,castello,
3325,Sweet Panda,sweet panda,
3326,Sweet Palace,sweet palace,
3327,Sweet One,sweet one,
3328,Pizza Di Legno,pizza di legno,
3329,Sweet Obsession Gelato,sweet obsession gelato,
3330,Harpos Pizza,harpos pizza,
3331,Caspian Pizza Bar,caspian pizza bar,
3332,The Breakfast Box,the breakfast box,
3333,Caspian Pizza & Kebab,caspian pizza & kebab,
3334,The Breakfast Gang,the breakfast gang,
3335,Pizza Coco,pizza coco,
3336,Caspian Grill,caspian grill,
3337,Caspian Fish Bar,caspian fish bar,
3338,Caspian Burgers,caspian burgers,
3339,Panshee,panshee,
3340,Harlow Tandoori,harlow tandoori,
3341,Casacosta Express,casacosta express,
3342,CasaCosta Express,casacosta express,
3343,Panjab Pizza,panjab pizza,
3344,Pizza Farm,pizza farm,
3345,Casa Rica,casa rica,
3346,Sweet Retreat,sweet retreat,
3347,Papa Dino's,papa dino's,
3348,Papa Don's,papa don's,
3349,Castle Kebab House,castle kebab house,
3350,Harry's Diner,harry's diner,
3351,Harry's Chicken & Pizza,harry's chicken & pizza,
3352,Harry's Cafe,harry's cafe,
3353,Sweet Temptations,sweet temptations,
3354,Harry's American Diner,harry's american diner,
3355,Pizza Costa,pizza costa,
3356,The Boil Brothers,the boil brothers,
3357,Catch22,catch22,
3358,Catch of the Day,catch of the day,
3359,Pizza Crush,pizza crush,
3360,Co-op - Kingsway,co-op - kingsway,
3361,Pizza Crust,pizza crust,
3362,Pizza Cucina,pizza cucina,
3363,Catch 22,catch 22,
3364,The Boogaloo,the boogaloo,
3365,Cat's Pyjamas,cat's pyjamas,
3366,Papa Ginos,papa ginos,
3367,Pizza Del Maestro,pizza del maestro,
3368,Sweet Sensations,sweet sensations,
3369,Castle Pizza,castle pizza,
3370,Papa Frites,papa frites,
3371,Hasbury Chippy,hasbury chippy,
